estimate,se_seller,se_hc1,se_twoway,n,converged,error,func_form,fe,sample,cov_design,form_label,fe_label,sample_label,cov_label
-92.239175,11.845926,6.299775,17.918043,423706,True,,F6,E2,S1,D1,GMV levels,Seller FE only,Full sample,No controls
-5.772675,13.571322,10.259007,18.618534,423706,True,,F6,E2,S1,D2,GMV levels,Seller FE only,Full sample,Cohort trends
-84.650616,15.881884,8.406777,22.226385,319464,True,,F6,E2,S2,D1,GMV levels,Seller FE only,Positive-sales,No controls
0.875321,17.440693,13.140130,24.107535,319464,True,,F6,E2,S2,D2,GMV levels,Seller FE only,Positive-sales,Cohort trends
-82.585430,34.745086,17.041170,36.561477,85514,True,,F6,E2,S3,D1,GMV levels,Seller FE only,Early adopters,No controls
-21.454659,36.783748,26.664196,38.066278,85514,True,,F6,E2,S3,D2,GMV levels,Seller FE only,Early adopters,Cohort trends
120.689109,65.352237,23.119350,63.702353,423706,True,,F6,E3,S1,D1,GMV levels,Week FE only,Full sample,No controls
-55.919572,37.007289,34.151851,26.179318,423706,True,,F6,E3,S1,D2,GMV levels,Week FE only,Full sample,Cohort trends
143.597000,89.454046,31.669378,87.011576,319925,True,,F6,E3,S2,D1,GMV levels,Week FE only,Positive-sales,No controls
-65.286248,47.826614,45.646990,29.890689,319925,True,,F6,E3,S2,D2,GMV levels,Week FE only,Positive-sales,Cohort trends
288.497433,216.731186,71.246493,210.968106,85514,True,,F6,E3,S3,D1,GMV levels,Week FE only,Early adopters,No controls
-10.783522,157.299703,126.092668,105.999662,85514,True,,F6,E3,S3,D2,GMV levels,Week FE only,Early adopters,Cohort trends
-8.253047,36.630129,14.958413,38.097785,423706,True,,F6,E4,S1,D1,GMV levels,No FE,Full sample,No controls
-124.179228,37.251020,21.770598,42.036021,423706,True,,F6,E4,S1,D2,GMV levels,No FE,Full sample,Cohort trends
43.875557,49.489229,20.118123,49.152997,319925,True,,F6,E4,S2,D1,GMV levels,No FE,Positive-sales,No controls
-102.096211,49.106918,28.762989,48.937212,319925,True,,F6,E4,S2,D2,GMV levels,No FE,Positive-sales,Cohort trends
43.165906,115.253862,47.093642,110.595570,85514,True,,F6,E4,S3,D1,GMV levels,No FE,Early adopters,No controls
-122.676925,110.873665,63.689095,100.018212,85514,True,,F6,E4,S3,D2,GMV levels,No FE,Early adopters,Cohort trends
-0.002977,0.024299,0.024299,0.024299,407284,True,,F7,E1,S1,D1,Poisson PPML,Seller+Week FE,Full sample,No controls
0.006022,0.023715,0.023715,0.023715,407284,True,,F7,E1,S1,D2,Poisson PPML,Seller+Week FE,Full sample,Cohort trends
-0.004433,0.023460,0.023460,0.023460,319464,True,,F7,E1,S2,D1,Poisson PPML,Seller+Week FE,Positive-sales,No controls
0.011070,0.023401,0.023401,0.023401,319464,True,,F7,E1,S2,D2,Poisson PPML,Seller+Week FE,Positive-sales,Cohort trends
0.018966,0.053271,0.053271,0.053271,84295,True,,F7,E1,S3,D1,Poisson PPML,Seller+Week FE,Early adopters,No controls
0.038722,0.066993,0.066993,0.066993,84295,True,,F7,E1,S3,D2,Poisson PPML,Seller+Week FE,Early adopters,Cohort trends
-0.096318,0.013761,0.013761,0.013761,407284,True,,F7,E2,S1,D1,Poisson PPML,Seller FE only,Full sample,No controls
-0.009908,0.014416,0.014416,0.014416,407284,True,,F7,E2,S1,D2,Poisson PPML,Seller FE only,Full sample,Cohort trends
-0.065252,0.013169,0.013169,0.013169,319464,True,,F7,E2,S2,D1,Poisson PPML,Seller FE only,Positive-sales,No controls
0.000238,0.013779,0.013779,0.013779,319464,True,,F7,E2,S2,D2,Poisson PPML,Seller FE only,Positive-sales,Cohort trends
-0.059437,0.027418,0.027418,0.027418,84295,True,,F7,E2,S3,D1,Poisson PPML,Seller FE only,Early adopters,No controls
-0.017186,0.027583,0.027583,0.027583,84295,True,,F7,E2,S3,D2,Poisson PPML,Seller FE only,Early adopters,Cohort trends
0.137879,0.075327,0.075327,0.075327,423706,True,,F7,E3,S1,D1,Poisson PPML,Week FE only,Full sample,No controls
-0.053437,0.036153,0.036153,0.036153,423706,True,,F7,E3,S1,D2,Poisson PPML,Week FE only,Full sample,Cohort trends
0.119252,0.074893,0.074893,0.074893,319925,True,,F7,E3,S2,D1,Poisson PPML,Week FE only,Positive-sales,No controls
-0.047802,0.036078,0.036078,0.036078,319925,True,,F7,E3,S2,D2,Poisson PPML,Week FE only,Positive-sales,Cohort trends
0.225608,0.166134,0.166134,0.166134,85514,True,,F7,E3,S3,D1,Poisson PPML,Week FE only,Early adopters,No controls
0.004137,0.103729,0.103729,0.103729,85514,True,,F7,E3,S3,D2,Poisson PPML,Week FE only,Early adopters,Cohort trends
-0.008889,0.039562,0.039562,0.039562,423706,True,,F7,E4,S1,D1,Poisson PPML,No FE,Full sample,No controls
-0.133437,0.038882,0.038882,0.038882,423706,True,,F7,E4,S1,D2,Poisson PPML,No FE,Full sample,Cohort trends
0.035254,0.039310,0.039310,0.039310,319925,True,,F7,E4,S2,D1,Poisson PPML,No FE,Positive-sales,No controls
-0.082250,0.039315,0.039315,0.039315,319925,True,,F7,E4,S2,D2,Poisson PPML,No FE,Positive-sales,Cohort trends
0.031742,0.083536,0.083536,0.083536,85514,True,,F7,E4,S3,D1,Poisson PPML,No FE,Early adopters,No controls
-0.091305,0.081303,0.081303,0.081303,85514,True,,F7,E4,S3,D2,Poisson PPML,No FE,Early adopters,Cohort trends
