"ID","TreatmentDate","OptInDate","GMV2015"
164630,2016-08-08,2016-08-16,10070.55
108793,2016-07-26,2016-07-26,39021.67
163078,2016-08-08,NA,30590.9
30009,2016-06-13,2016-10-23,16027.76
161283,2016-06-21,2016-06-22,108447.04
43431,2016-06-13,2016-06-28,21474
62610,2016-06-13,2016-06-13,567693.93
89253,2016-06-13,2016-06-17,22295.34
141144,2016-06-21,NA,15594.96
50330,2016-08-08,NA,96758.47
154495,2016-08-08,NA,59966.8
84003,2016-06-06,NA,10008.24
104853,2016-05-19,NA,30551.42
153223,2016-08-08,2016-09-24,76025.3
107196,2016-07-26,2016-09-07,20746.99
61137,2016-06-13,2016-06-13,16213.25
107115,2016-06-13,2016-10-03,11424.43
4565,2016-06-13,NA,19701.61
1188,2016-06-21,2016-06-21,10300.94
95067,2016-06-21,2016-08-19,12874.4
150604,2016-08-08,NA,15815.69
111978,2016-06-21,2016-07-27,28033.14
123717,2016-06-13,2016-11-01,85347.37
24026,2016-06-13,2016-06-13,90296.78
113689,2016-06-21,2016-06-23,449052.45
35365,2016-06-21,NA,63630.2
158412,2016-06-21,NA,24656.1
3273,2016-08-08,2016-08-08,60097.58
56183,2016-06-13,2016-11-29,1948558.15
30194,2016-06-21,NA,56725.11
22603,2016-05-19,NA,10409.01
81317,2016-06-13,2016-12-02,13322.45
25346,2016-08-08,2016-09-16,46487.09
64455,2016-08-08,NA,18769.31
47791,2016-05-19,2016-05-22,21926.73
110601,2016-06-13,NA,38461.36
183461,2016-06-13,2016-06-13,49351.62
104049,2016-08-08,NA,34177.9
31326,2016-06-21,NA,28152.71
61554,2016-06-13,2016-06-17,18810.29
144165,2016-06-13,2016-06-18,152445.41
131244,2016-07-26,2016-11-12,39977.44
69809,2016-08-08,2016-10-27,63819.96
174355,2016-08-08,NA,50073.01
124100,2016-06-13,NA,15889.81
89201,2016-06-13,NA,14486.28
43645,2016-06-21,NA,10933.77
65850,2016-06-13,2016-06-14,19894.06
94086,2016-08-08,NA,18110.69
86122,2016-08-08,NA,65909.18
78452,2016-08-08,NA,15141.29
126593,2016-08-08,NA,20717.14
24617,2016-08-08,2016-08-23,48177.37
114174,2016-06-06,2016-06-07,41247.13
79817,2016-06-13,2016-06-13,12453.84
94275,2016-06-13,NA,173879.32
116145,2016-08-08,NA,295089.81
142934,2016-06-13,2016-06-14,72845.17
33501,2016-06-21,2016-06-29,12913.99
148973,2016-06-13,2016-06-13,57749.95
26304,2016-05-12,2016-05-13,119556.68
12294,2016-06-21,NA,10615.09
178782,2016-06-13,2016-06-13,10873.87
22313,2016-08-08,NA,35900
145383,2016-05-12,NA,16567.88
8365,2016-06-06,2016-10-02,19511.95
17640,2016-08-08,NA,27891.65
41671,2016-07-26,2016-07-28,43495.21
63332,2016-06-21,2016-11-09,15982.58
76084,2016-06-06,2016-06-19,13111.87
137211,2016-06-21,2016-06-22,14705.66
144115,2016-06-06,2016-06-10,56507.26
178938,2016-05-19,2016-10-03,104372.61
87187,2016-08-08,2016-08-09,18452.71
62211,2016-06-21,2016-07-01,16500.28
56365,2016-08-08,2016-08-19,43897.48
138129,2016-06-13,2016-06-20,568500.91
60594,2016-06-06,NA,12268.84
7653,2016-08-08,NA,12697.79
43664,2016-05-12,NA,22661.27
139555,2016-06-13,NA,10179.63
32729,2016-08-08,NA,59034.12
104991,2016-05-12,2017-01-06,30828.6
151091,2016-06-21,2016-07-27,32638.53
101934,2016-06-21,2016-07-27,124257.22
81160,2016-07-26,2016-11-28,76442.64
112392,2016-06-21,NA,11440.53
57969,2016-06-13,2016-07-28,35580.89
151818,2016-06-13,2016-06-14,13018.89
16936,2016-06-13,2016-07-05,19001.83
23128,2016-06-13,NA,14019.8
15017,2016-06-21,2016-06-23,78483.73
143044,2016-06-13,NA,15182.46
147788,2016-08-08,NA,26724.31
165715,2016-08-08,NA,25208.86
20920,2016-06-13,2016-09-26,28977.42
134677,2016-06-13,NA,25643.59
140705,2016-05-12,2016-05-21,32511.5
80374,2016-08-08,NA,19015.3
142209,2016-06-21,NA,27425.8
38726,2016-06-21,NA,21633.44
75576,2016-06-13,2016-06-26,13582.78
141856,2016-08-08,2016-11-08,600393.66
173958,2016-05-12,2016-05-12,25352.32
4067,2016-08-08,2016-08-22,23433.31
129035,2016-06-13,2016-07-20,112020.31
11068,2016-06-21,NA,19493.18
78414,2016-06-21,2016-06-22,54593.92
17709,2016-08-08,NA,22458.57
171325,2016-08-08,2016-08-08,19221.38
72965,2016-08-08,NA,53801.7
81418,2016-06-21,NA,26219
87662,2016-05-12,2016-09-17,44505.72
40818,2016-05-19,2016-07-09,759934.95
18154,2016-08-08,2016-09-21,47827.72
80457,2016-06-13,2016-11-11,87203.54
166148,2016-06-13,NA,11040.13
114287,2016-06-21,2016-06-22,98802.56
106822,2016-06-13,2016-06-28,531382.09
54067,2016-06-21,NA,12562.61
93027,2016-06-21,NA,34381.37
30121,2016-06-13,2016-06-16,28002.49
27375,2016-06-21,2016-06-23,23467.11
130877,2016-06-21,2016-06-23,31349.24
162990,2016-08-08,NA,149658.62
78321,2016-06-13,NA,12670.09
55458,2016-06-13,NA,35093.11
112845,2016-06-13,2016-06-15,10565.54
14324,2016-08-08,NA,71799.05
72663,2016-08-08,NA,22093.66
145025,2016-06-21,NA,25539.87
136712,2016-08-08,2017-03-13,91562.3
45760,2016-08-08,2016-09-02,43305.29
107494,2016-08-08,2016-08-29,83842.12
1590,2016-07-26,NA,37051.53
9783,2016-06-13,2016-07-15,92379.81
17655,2016-06-21,NA,14652
51198,2016-05-12,2016-10-22,122320.29
130307,2016-06-21,2016-07-05,20112.62
132295,2016-08-08,NA,13987.36
81929,2016-06-13,NA,18522.5
145156,2016-06-13,2016-08-14,126765.63
12459,2016-05-19,NA,17542.13
103260,2016-08-08,NA,10638.22
62227,2016-06-13,NA,22142.76
127088,2016-06-13,NA,10833.2
20939,2016-06-13,NA,11313.19
118978,2016-08-08,NA,14378.47
90275,2016-06-13,NA,59585.74
79677,2016-08-08,NA,17604
104112,2016-08-08,NA,27199
86151,2016-06-13,NA,10849.92
63927,2016-08-08,NA,26726.46
76243,2016-06-21,2016-11-01,17549.13
85826,2016-06-13,2016-07-06,30669.7
175717,2016-08-08,NA,20756.44
106714,2016-06-13,NA,32364.62
175023,2016-06-13,NA,19272.38
30070,2016-08-08,2016-10-13,20828.38
154027,2016-05-12,NA,16929.9
143262,2016-08-08,2016-08-23,291850.11
30067,2016-08-08,2017-01-24,18146.63
45347,2016-08-08,2016-09-22,15503.33
153277,2016-08-08,NA,12343.68
172800,2016-06-21,2016-06-24,48905.49
74916,2016-08-08,2016-12-07,29315.09
60975,2016-06-13,NA,18530.59
113483,2016-06-13,2017-03-03,143465.02
7136,2016-08-08,NA,46242.63
44439,2016-06-13,2016-06-23,11449.88
